평형,구간폭_만원,구간시작_만원,구간끝_만원,구간표기,전기간_건수,최근5년_건수
18,20000,60000,79999,6~8억,2,0
18,20000,80000,99999,8~10억,102,0
18,20000,100000,119999,10~12억,54,0
18,20000,120000,139999,12~14억,13,0
18,20000,140000,159999,14~16억,15,0
18,20000,160000,179999,16~18억,7,0
18,20000,180000,199999,18~20억,17,0
18,20000,200000,219999,20~22억,14,0
18,20000,220000,239999,22~24억,19,3
18,20000,240000,259999,24~26억,17,12
18,20000,260000,279999,26~28억,17,13
18,20000,280000,299999,28~30억,3,3
18,20000,300000,319999,30~32억,6,6
18,20000,320000,339999,32~34억,5,5
18,20000,340000,359999,34~36억,6,6
18,20000,360000,379999,36~38억,1,1
18,20000,380000,399999,38~40억,1,1
18,20000,400000,419999,40~42억,5,5
18,20000,420000,439999,42~44억,2,2
18,20000,440000,459999,44~46억,1,1
26,20000,100000,119999,10~12억,6,0
26,20000,120000,139999,12~14억,117,0
26,20000,140000,159999,14~16억,157,0
26,20000,160000,179999,16~18억,67,0
26,20000,180000,199999,18~20억,26,0
26,20000,200000,219999,20~22억,14,0
26,20000,220000,239999,22~24억,16,0
26,20000,240000,259999,24~26억,16,0
26,20000,260000,279999,26~28억,27,0
26,20000,280000,299999,28~30억,23,0
26,20000,300000,319999,30~32억,26,5
26,20000,320000,339999,32~34억,15,6
26,20000,340000,359999,34~36억,23,21
26,20000,360000,379999,36~38억,26,25
26,20000,380000,399999,38~40억,19,19
26,20000,400000,419999,40~42억,16,16
26,20000,420000,439999,42~44억,14,14
26,20000,440000,459999,44~46억,9,9
26,20000,460000,479999,46~48억,3,3
26,20000,480000,499999,48~50억,5,5
26,20000,500000,519999,50~52억,5,5
26,20000,520000,539999,52~54억,3,3
26,20000,540000,559999,54~56억,4,4
26,20000,560000,579999,56~58억,2,2
35,20000,160000,179999,16~18억,3,0
35,20000,180000,199999,18~20억,31,0
35,20000,200000,219999,20~22억,17,0
35,20000,220000,239999,22~24억,7,0
35,20000,240000,259999,24~26억,1,0
35,20000,260000,279999,26~28억,3,0
35,20000,280000,299999,28~30억,1,0
35,20000,300000,319999,30~32억,1,0
35,20000,320000,339999,32~34억,1,0
35,20000,340000,359999,34~36억,2,0
35,20000,360000,379999,36~38억,2,0
35,20000,380000,399999,38~40억,2,0
35,20000,400000,419999,40~42억,2,0
35,20000,420000,439999,42~44억,1,1
35,20000,480000,499999,48~50억,3,3
35,20000,500000,519999,50~52억,2,2
35,20000,520000,539999,52~54억,1,1
35,20000,540000,559999,54~56억,2,2
35,20000,560000,579999,56~58억,1,1
41,20000,140000,159999,14~16억,1,0
41,20000,180000,199999,18~20억,11,0
41,20000,200000,219999,20~22억,46,0
41,20000,220000,239999,22~24억,24,0
41,20000,240000,259999,24~26억,18,0
41,20000,260000,279999,26~28억,5,0
41,20000,300000,319999,30~32억,7,0
41,20000,320000,339999,32~34억,9,0
41,20000,340000,359999,34~36억,2,0
41,20000,360000,379999,36~38억,5,0
41,20000,380000,399999,38~40억,1,0
41,20000,400000,419999,40~42억,1,0
41,20000,420000,439999,42~44억,1,0
41,20000,440000,459999,44~46억,2,0
41,20000,500000,519999,50~52억,1,1
41,20000,520000,539999,52~54억,4,4
41,20000,540000,559999,54~56억,4,4
41,20000,580000,599999,58~60억,1,1
41,20000,600000,619999,60~62억,2,2
41,20000,620000,639999,62~64억,2,2
41,20000,660000,679999,66~68억,1,1
41,20000,740000,759999,74~76억,1,1
51,50000,150000,199999,15~20억,2,0
51,50000,200000,249999,20~25억,45,0
51,50000,250000,299999,25~30억,56,0
51,50000,300000,349999,30~35억,16,0
51,50000,350000,399999,35~40억,9,0
51,50000,400000,449999,40~45억,11,0
51,50000,450000,499999,45~50억,2,1
51,50000,500000,549999,50~55억,2,1
51,50000,550000,599999,55~60억,2,2
51,50000,600000,649999,60~65억,7,7
51,50000,650000,699999,65~70억,3,3
51,50000,700000,749999,70~75억,6,6
51,50000,750000,799999,75~80억,3,3
51,50000,800000,849999,80~85억,1,1
60,50000,200000,249999,20~25억,38,0
60,50000,250000,299999,25~30억,49,0
60,50000,300000,349999,30~35억,38,0
60,50000,350000,399999,35~40억,7,0
60,50000,400000,449999,40~45억,11,0
60,50000,450000,499999,45~50억,10,0
60,50000,500000,549999,50~55억,1,0
60,50000,550000,599999,55~60억,1,1
60,50000,650000,699999,65~70억,2,2
60,50000,700000,749999,70~75억,13,13
60,50000,750000,799999,75~80억,11,11
60,50000,800000,849999,80~85억,2,2
60,50000,850000,899999,85~90억,2,2
67,50000,200000,249999,20~25억,7,0
67,50000,250000,299999,25~30억,54,0
67,50000,300000,349999,30~35억,43,0
67,50000,350000,399999,35~40억,9,0
67,50000,400000,449999,40~45억,8,0
67,50000,450000,499999,45~50억,5,0
67,50000,500000,549999,50~55억,3,1
67,50000,700000,749999,70~75억,2,2
67,50000,750000,799999,75~80억,4,4
67,50000,800000,849999,80~85억,7,7
67,50000,850000,899999,85~90억,2,2
67,50000,900000,949999,90~95억,1,1
67,50000,950000,999999,95~100억,1,1
