구간시작_만원,구간표기,보유세대_추정
100000,원분양 보유(한 번도 안 팔린 집),467.9
80000,8~10억,1.0
100000,10~12억,10.8
120000,12~14억,79.7
140000,14~16억,97.2
160000,16~18억,46.3
180000,18~20억,19.4
200000,20~22억,10.7
220000,22~24억,12.4
240000,24~26억,12.6
260000,26~28억,22.4
280000,28~30억,19.0
300000,30~32억,22.1
320000,32~34억,13.1
340000,34~36억,20.6
360000,36~38억,23.5
380000,38~40억,17.3
400000,40~42억,15.2
420000,42~44억,13.4
440000,44~46억,8.7
460000,46~48억,3.0
480000,48~50억,4.9
500000,50~52억,5.0
520000,52~54억,3.0
540000,54~56억,4.0
560000,56~58억,2.0
