평형,분기,건수,명목_중위_평당_만원,실질2025_중위_평당_만원
18,2009-Q4,1,4576,6359
18,2010-Q1,13,5127,6922
18,2010-Q3,3,5293,7145
18,2010-Q4,8,5238,7072
18,2011-Q1,3,5320,6905
18,2011-Q2,1,5340,6931
18,2011-Q3,5,5354,6949
18,2011-Q4,2,5113,6635
18,2012-Q1,2,5347,6791
18,2012-Q2,3,5403,6862
18,2012-Q3,4,5186,6586
18,2012-Q4,7,4940,6274
18,2013-Q1,7,5023,6297
18,2013-Q2,14,5241,6570
18,2013-Q3,7,5216,6539
18,2013-Q4,5,5403,6774
18,2014-Q1,9,5348,6620
18,2014-Q2,3,5133,6355
18,2014-Q3,7,5403,6689
18,2014-Q4,9,5761,7132
18,2015-Q1,11,5789,7116
18,2015-Q2,7,5906,7260
18,2015-Q3,4,6476,7961
18,2015-Q4,1,5899,7252
18,2016-Q1,6,6320,7694
18,2016-Q2,13,6368,7752
18,2016-Q3,7,6458,7862
18,2016-Q4,3,7176,8736
18,2017-Q1,4,7676,9167
18,2017-Q2,9,7884,9415
18,2017-Q3,5,8379,10006
18,2017-Q4,4,8799,10507
18,2018-Q1,2,9102,10711
18,2018-Q3,6,10048,11825
18,2018-Q4,1,10972,12911
18,2019-Q2,9,10156,11907
18,2019-Q3,8,11006,12902
18,2019-Q4,5,12475,14624
18,2020-Q1,4,11964,13951
18,2020-Q2,8,11667,13605
18,2020-Q3,4,12688,14795
18,2020-Q4,10,12743,14859
18,2021-Q1,2,14067,16003
18,2021-Q2,2,14812,16851
18,2021-Q3,1,14610,16621
18,2021-Q4,1,16559,18838
18,2022-Q2,1,13921,15070
18,2022-Q3,1,14076,15237
18,2022-Q4,1,14831,16055
18,2023-Q1,2,13295,13892
18,2023-Q2,4,13228,13823
18,2023-Q3,10,14128,14763
18,2024-Q1,6,14555,14864
18,2024-Q2,8,15722,16056
18,2024-Q3,3,16926,17285
18,2024-Q4,4,18342,18732
18,2025-Q1,7,18739,18739
18,2025-Q2,1,22053,22053
18,2025-Q4,2,22136,22136
18,2026-Q1,3,23983,23983
18,2026-Q2,4,22121,22121
26,2009-Q3,4,5436,7554
26,2009-Q4,8,5430,7546
26,2010-Q1,3,5260,7101
26,2010-Q2,1,5858,7908
26,2010-Q3,2,6072,8197
26,2010-Q4,6,5975,8066
26,2011-Q1,5,5644,7325
26,2011-Q2,3,6033,7830
26,2011-Q3,7,5994,7779
26,2011-Q4,6,5391,6996
26,2012-Q1,12,5226,6636
26,2012-Q2,10,5316,6752
26,2012-Q3,7,5099,6476
26,2012-Q4,10,4830,6135
26,2013-Q1,11,5216,6539
26,2013-Q2,9,5255,6588
26,2013-Q3,12,4968,6228
26,2013-Q4,21,5216,6539
26,2014-Q1,16,5205,6444
26,2014-Q2,10,5484,6789
26,2014-Q3,17,5449,6746
26,2014-Q4,12,5673,7023
26,2015-Q1,21,5605,6890
26,2015-Q2,23,5916,7273
26,2015-Q3,13,5819,7153
26,2015-Q4,10,6208,7631
26,2016-Q1,9,6006,7312
26,2016-Q2,27,6111,7439
26,2016-Q3,21,6240,7597
26,2016-Q4,7,6500,7913
26,2017-Q1,11,6500,7762
26,2017-Q2,17,6760,8072
26,2017-Q3,17,7402,8840
26,2017-Q4,17,7785,9296
26,2018-Q1,10,9186,10810
26,2018-Q2,2,8466,9963
26,2018-Q3,13,9517,11200
26,2019-Q1,2,8719,10221
26,2019-Q2,10,9804,11493
26,2019-Q3,15,10324,12104
26,2019-Q4,11,11673,13685
26,2020-Q2,17,10704,12482
26,2020-Q3,14,11677,13616
26,2020-Q4,6,12300,14342
26,2021-Q1,8,12057,13716
26,2021-Q2,5,12806,14568
26,2021-Q3,8,13643,15520
26,2021-Q4,3,14791,16827
26,2022-Q1,6,14110,15274
26,2022-Q2,4,14876,16104
26,2022-Q4,2,13137,14221
26,2023-Q1,8,12728,13300
26,2023-Q2,7,13623,14236
26,2023-Q3,9,13818,14439
26,2023-Q4,2,14499,15151
26,2024-Q1,5,13896,14191
26,2024-Q2,27,14791,15105
26,2024-Q3,12,15959,16298
26,2024-Q4,9,16698,17053
26,2025-Q1,20,17088,17088
26,2025-Q2,3,18761,18761
26,2025-Q3,1,18683,18683
26,2025-Q4,5,20708,20708
26,2026-Q1,4,21797,21797
26,2026-Q2,6,19754,19754
35,2009-Q4,2,5507,7652
35,2010-Q1,2,5781,7805
35,2010-Q2,1,5260,7101
35,2010-Q3,1,5504,7431
35,2010-Q4,2,5756,7770
35,2011-Q1,1,5927,7692
35,2011-Q2,1,6003,7790
35,2011-Q3,1,6003,7790
35,2011-Q4,4,5292,6868
35,2012-Q2,1,5703,7242
35,2013-Q1,1,5331,6683
35,2013-Q2,2,4909,6155
35,2013-Q3,2,5257,6591
35,2013-Q4,2,5188,6504
35,2014-Q1,2,5398,6682
35,2014-Q3,2,5197,6433
35,2014-Q4,2,5292,6551
35,2015-Q1,3,5557,6831
35,2015-Q2,8,5568,6844
35,2015-Q3,5,5786,7113
35,2015-Q4,1,5974,7344
35,2016-Q1,1,6031,7342
35,2016-Q2,3,6088,7412
35,2016-Q3,2,5762,7015
35,2016-Q4,3,6464,7869
35,2017-Q1,1,6718,8022
35,2017-Q2,2,6589,7869
35,2017-Q4,2,7316,8736
35,2018-Q1,1,7762,9134
35,2018-Q2,1,7536,8869
35,2018-Q3,1,8861,10428
35,2019-Q2,1,8461,9919
35,2019-Q3,3,9597,11250
35,2019-Q4,1,10444,12243
35,2020-Q3,1,10834,12632
35,2020-Q4,2,11071,12909
35,2021-Q1,2,11777,13398
35,2021-Q4,1,11996,13647
35,2022-Q3,1,14092,15255
35,2023-Q2,2,13901,14526
35,2023-Q4,1,13721,14337
35,2024-Q2,1,14113,14413
35,2024-Q3,1,15157,15479
35,2025-Q1,3,15778,15778
41,2009-Q4,2,4449,6183
41,2010-Q1,3,5959,8045
41,2010-Q3,3,6105,8241
41,2010-Q4,1,5278,7125
41,2011-Q2,2,5618,7291
41,2011-Q3,3,5789,7512
41,2011-Q4,1,5728,7433
41,2012-Q1,1,5789,7352
41,2012-Q2,1,5472,6950
41,2012-Q3,2,5047,6409
41,2013-Q1,3,4694,5885
41,2013-Q2,14,4901,6144
41,2013-Q3,1,4937,6190
41,2013-Q4,2,4980,6243
41,2014-Q1,1,5035,6232
41,2014-Q2,5,5095,6308
41,2014-Q3,7,5168,6398
41,2014-Q4,7,5020,6214
41,2015-Q1,7,5241,6443
41,2015-Q2,10,5324,6545
41,2015-Q3,5,5594,6876
41,2015-Q4,2,5868,7213
41,2016-Q1,4,5801,7062
41,2016-Q2,5,5930,7219
41,2016-Q3,4,6080,7402
41,2016-Q4,3,6056,7373
41,2017-Q1,1,6153,7348
41,2017-Q2,3,6786,8103
41,2017-Q3,1,6518,7784
41,2017-Q4,2,6956,8307
41,2018-Q1,4,7892,9288
41,2018-Q2,3,7661,9016
41,2018-Q3,3,8026,9445
41,2019-Q1,1,7620,8934
41,2019-Q2,7,7832,9181
41,2019-Q3,2,9000,10550
41,2020-Q2,2,9205,10734
41,2020-Q3,2,9340,10891
41,2020-Q4,1,10337,12053
41,2021-Q2,1,11139,12672
41,2021-Q3,1,11139,12672
41,2022-Q1,1,13255,14349
41,2022-Q2,4,13073,14152
41,2023-Q1,1,12161,12707
41,2023-Q2,1,12769,13343
41,2023-Q4,1,13353,13953
41,2024-Q2,1,12939,13214
41,2024-Q3,1,14471,14779
41,2024-Q4,1,14654,14965
41,2025-Q1,4,15201,15201
41,2025-Q3,1,18241,18241
51,2009-Q4,1,5076,7055
51,2010-Q1,2,5831,7873
51,2010-Q2,1,5194,7013
51,2010-Q4,4,5057,6827
51,2011-Q1,1,5390,6996
51,2011-Q2,3,5665,7352
51,2011-Q4,2,5233,6791
51,2012-Q1,1,4296,5455
51,2012-Q3,1,5076,6447
51,2012-Q4,2,4459,5663
51,2013-Q1,3,4100,5140
51,2013-Q2,4,4489,5628
51,2013-Q3,6,4059,5089
51,2013-Q4,2,4410,5529
51,2014-Q1,2,4382,5424
51,2014-Q2,3,4214,5217
51,2014-Q3,7,4430,5484
51,2014-Q4,5,4881,6043
51,2015-Q1,4,4597,5651
51,2015-Q2,7,5467,6720
51,2015-Q3,7,4803,5904
51,2015-Q4,6,4906,6030
51,2016-Q1,5,5155,6276
51,2016-Q2,6,5155,6276
51,2016-Q3,8,5672,6905
51,2016-Q4,5,5273,6419
51,2017-Q1,3,5292,6320
51,2017-Q2,5,5488,6554
51,2017-Q3,3,5586,6671
51,2017-Q4,5,6174,7373
51,2018-Q1,3,6248,7353
51,2018-Q2,2,6416,7550
51,2018-Q3,3,7088,8341
51,2018-Q4,1,7194,8466
51,2019-Q2,5,7429,8709
51,2019-Q3,2,7728,9059
51,2019-Q4,2,8119,9518
51,2020-Q2,1,7645,8914
51,2020-Q3,4,8262,9634
51,2020-Q4,1,8337,9722
51,2021-Q1,2,8794,10004
51,2021-Q3,3,9958,11328
51,2022-Q1,1,11761,12732
51,2023-Q2,1,11325,11834
51,2023-Q3,3,12545,13109
51,2024-Q1,2,11780,12031
51,2024-Q2,2,12188,12447
51,2024-Q3,1,13668,13958
51,2024-Q4,2,12937,13212
51,2025-Q1,3,14253,14253
51,2025-Q4,2,15347,15347
51,2026-Q1,2,15106,15106
51,2026-Q2,3,14253,14253
60,2009-Q3,2,4344,6037
60,2009-Q4,2,4253,5910
60,2010-Q1,3,4824,6513
60,2010-Q3,1,4507,6085
60,2010-Q4,3,5475,7392
60,2011-Q1,2,4764,6182
60,2011-Q2,3,4836,6277
60,2011-Q3,2,4580,5944
60,2011-Q4,1,4941,6412
60,2012-Q1,2,4411,5602
60,2012-Q2,2,4238,5382
60,2012-Q3,1,4507,5724
60,2012-Q4,6,3861,4903
60,2013-Q1,3,3906,4897
60,2013-Q2,5,4056,5085
60,2013-Q3,2,4063,5094
60,2013-Q4,8,3894,4881
60,2014-Q1,7,3862,4781
60,2014-Q2,2,4163,5153
60,2014-Q3,8,4069,5037
60,2014-Q4,7,4657,5765
60,2015-Q1,7,4620,5679
60,2015-Q2,6,4774,5868
