동,단지명,단지일련번호,본번,부번,건축년도,매수자,해제사유발생일,해제여부,거래금액,계약일,계약월,계약년도,거래유형,중개사소재지,전용면적,층,지번,대지구분코드,토지임대부여부,등기일자,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명코드,도로명일련번호코드,도로명시군구코드,도로명지상지하코드,지역코드,매도자,법정동코드,법정동,거래구분,조회년월,계약일자,평형,평수,거래금액_만원,㎡당_만원,평당_만원
,래미안퍼스티지,11650-3559,0018,0001,2009,,,,"139,300",15,7,2009,,,84.93,11,18-1,1,N,,반포대로,00275,00000,2121003,02,11650,0,11650,,10700,반포동,매매,200907,2009-07-15,26,25.7,139300,1640.2,5422.1
,래미안퍼스티지,11650-3559,0018,0001,2009,,,,"265,500",27,7,2009,,,198.04,18,18-1,1,N,,반포대로,00275,00000,2121003,02,11650,0,11650,,10700,반포동,매매,200907,2009-07-27,60,59.9,265500,1340.6,4431.9
,래미안퍼스티지,11650-3559,0018,0001,2009,,,,"255,000",31,7,2009,,,198.04,8,18-1,1,N,,반포대로,00275,00000,2121003,02,11650,0,11650,,10700,반포동,매매,200907,2009-07-31,60,59.9,255000,1287.6,4256.6
,래미안퍼스티지,11650-3559,0018,0001,2009,,,,"140,000",7,8,2009,,,84.93,23,18-1,1,N,,반포대로,00275,00000,2121003,02,11650,0,11650,,10700,반포동,매매,200908,2009-08-07,26,25.7,140000,1648.4,5449.3
,래미안퍼스티지,11650-3559,0018,0001,2009,,,,"140,000",7,8,2009,,,84.93,23,18-1,1,N,,반포대로,00275,00000,2121003,02,11650,0,11650,,10700,반포동,매매,200908,2009-08-07,26,25.7,140000,1648.4,5449.3
,래미안퍼스티지,11650-3559,0018,0001,2009,,,,"139,000",27,8,2009,,,84.93,28,18-1,1,N,,반포대로,00275,00000,2121003,02,11650,0,11650,,10700,반포동,매매,200908,2009-08-27,26,25.7,139000,1636.6,5410.4
,래미안퍼스티지,11650-3559,0018,0001,2009,,,,"192,700",4,12,2009,,,117.12,23,18-1,1,N,,반포대로,00275,00000,2121003,02,11650,0,11650,,10700,반포동,매매,200912,2009-12-04,35,35.4,192700,1645.3,5439.1
,래미안퍼스티지,11650-3559,0018,0001,2009,,,,"195,000",7,12,2009,,,115.65,25,18-1,1,N,,반포대로,00275,00000,2121003,02,11650,0,11650,,10700,반포동,매매,200912,2009-12-07,35,35.0,195000,1686.1,5574.0
,래미안퍼스티지,11650-3559,0018,0001,2009,,,,"326,000",8,12,2009,,,222.76,24,18-1,1,N,,반포대로,00275,00000,2121003,02,11650,0,11650,,10700,반포동,매매,200912,2009-12-08,67,67.4,326000,1463.5,4837.9
,래미안퍼스티지,11650-3559,0018,0001,2009,,,,"299,000",8,12,2009,,,222.76,11,18-1,1,N,,반포대로,00275,00000,2121003,02,11650,0,11650,,10700,반포동,매매,200912,2009-12-08,67,67.4,299000,1342.3,4437.2
,래미안퍼스티지,11650-3559,0018,0001,2009,,,,"285,000",11,12,2009,,,198.04,19,18-1,1,N,,반포대로,00275,00000,2121003,02,11650,0,11650,,10700,반포동,매매,200912,2009-12-11,60,59.9,285000,1439.1,4757.4
,래미안퍼스티지,11650-3559,0018,0001,2009,,,,"147,000",16,12,2009,,,84.93,22,18-1,1,N,,반포대로,00275,00000,2121003,02,11650,0,11650,,10700,반포동,매매,200912,2009-12-16,26,25.7,147000,1730.8,5721.8
,래미안퍼스티지,11650-3559,0018,0001,2009,,,,"310,000",17,12,2009,,,222.76,18,18-1,1,N,,반포대로,00275,00000,2121003,02,11650,0,11650,,10700,반포동,매매,200912,2009-12-17,67,67.4,310000,1391.6,4600.5
,래미안퍼스티지,11650-3559,0018,0001,2009,,,,"280,000",18,12,2009,,,222.15,11,18-1,1,N,,반포대로,00275,00000,2121003,02,11650,0,11650,,10700,반포동,매매,200912,2009-12-18,67,67.2,280000,1260.4,4166.7
