단지명,단지일련번호,건축년도,계약기간,계약구분,계약일,계약월,계약년도,보증금액,전용면적,층,지번,월세금액,종전계약보증금,종전계약월세,roadnm,roadnmbcd,roadnmbonbun,roadnmbubun,roadnmcd,roadnmseq,roadnmsggcd,지역코드,법정동,갱신요구권사용,거래구분,조회년월,계약일자,평형,평수,보증금_만원,월세_만원,임대유형
래미안퍼스티지,11650-3559,2009,,,24,1,2011,"10,000",84.93,13,18-1,330,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201101,2011-01-24,26,25.7,10000,330,월세
래미안퍼스티지,11650-3559,2009,,,14,2,2011,"20,000",84.93,13,18-1,250,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201102,2011-02-14,26,25.7,20000,250,월세
래미안퍼스티지,11650-3559,2009,,,19,2,2011,"25,000",84.93,24,18-1,240,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201102,2011-02-19,26,25.7,25000,240,월세
래미안퍼스티지,11650-3559,2009,,,23,3,2011,"15,000",168.65,12,18-1,100,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201103,2011-03-23,51,51.0,15000,100,월세
래미안퍼스티지,11650-3559,2009,,,23,3,2011,"16,000",84.93,8,18-1,270,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201103,2011-03-23,26,25.7,16000,270,월세
래미안퍼스티지,11650-3559,2009,,,26,3,2011,"40,000",84.93,16,18-1,100,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201103,2011-03-26,26,25.7,40000,100,월세
래미안퍼스티지,11650-3559,2009,,,5,4,2011,"45,000",84.93,21,18-1,120,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201104,2011-04-05,26,25.7,45000,120,월세
래미안퍼스티지,11650-3559,2009,,,9,4,2011,"35,000",59.98,23,18-1,110,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201104,2011-04-09,18,18.1,35000,110,월세
래미안퍼스티지,11650-3559,2009,,,10,4,2011,"20,000",84.93,25,18-1,250,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201104,2011-04-10,26,25.7,20000,250,월세
래미안퍼스티지,11650-3559,2009,,,18,4,2011,"10,000",84.93,11,18-1,280,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201104,2011-04-18,26,25.7,10000,280,월세
