단지명,단지일련번호,건축년도,계약기간,계약구분,계약일,계약월,계약년도,보증금액,전용면적,층,지번,월세금액,종전계약보증금,종전계약월세,roadnm,roadnmbcd,roadnmbonbun,roadnmbubun,roadnmcd,roadnmseq,roadnmsggcd,지역코드,법정동,갱신요구권사용,거래구분,조회년월,계약일자,평형,평수,보증금_만원,월세_만원,임대유형
래미안퍼스티지,11650-3559,2009,,,3,1,2011,"54,000",59.98,17,18-1,0,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201101,2011-01-03,18,18.1,54000,0,전세
래미안퍼스티지,11650-3559,2009,,,7,1,2011,"135,000",169.31,22,18-1,0,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201101,2011-01-07,51,51.2,135000,0,전세
래미안퍼스티지,11650-3559,2009,,,11,1,2011,"132,000",169.31,29,18-1,0,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201101,2011-01-11,51,51.2,132000,0,전세
래미안퍼스티지,11650-3559,2009,,,11,1,2011,"28,200",198.04,11,18-1,0,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201101,2011-01-11,60,59.9,28200,0,전세
래미안퍼스티지,11650-3559,2009,,,11,1,2011,"56,000",59.89,13,18-1,0,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201101,2011-01-11,18,18.1,56000,0,전세
래미안퍼스티지,11650-3559,2009,,,13,1,2011,"128,000",168.65,16,18-1,0,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201101,2011-01-13,51,51.0,128000,0,전세
래미안퍼스티지,11650-3559,2009,,,13,1,2011,"80,000",84.76,18,18-1,0,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201101,2011-01-13,26,25.6,80000,0,전세
래미안퍼스티지,11650-3559,2009,,,16,1,2011,"57,000",59.96,18,18-1,0,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201101,2011-01-16,18,18.1,57000,0,전세
래미안퍼스티지,11650-3559,2009,,,11,2,2011,"75,000",84.93,16,18-1,0,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201102,2011-02-11,26,25.7,75000,0,전세
래미안퍼스티지,11650-3559,2009,,,24,2,2011,"76,000",84.93,15,18-1,0,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201102,2011-02-24,26,25.7,76000,0,전세
래미안퍼스티지,11650-3559,2009,,,25,2,2011,"177,000",222.76,11,18-1,0,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201102,2011-02-25,67,67.4,177000,0,전세
래미안퍼스티지,11650-3559,2009,,,4,3,2011,"55,000",59.89,13,18-1,0,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201103,2011-03-04,18,18.1,55000,0,전세
래미안퍼스티지,11650-3559,2009,,,12,3,2011,"55,000",59.96,18,18-1,0,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201103,2011-03-12,18,18.1,55000,0,전세
래미안퍼스티지,11650-3559,2009,,,5,4,2011,"135,000",198.22,17,18-1,0,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201104,2011-04-05,60,60.0,135000,0,전세
래미안퍼스티지,11650-3559,2009,,,6,4,2011,"140,000",198.22,23,18-1,0,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201104,2011-04-06,60,60.0,140000,0,전세
래미안퍼스티지,11650-3559,2009,,,10,4,2011,"140,000",198.04,25,18-1,0,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201104,2011-04-10,60,59.9,140000,0,전세
래미안퍼스티지,11650-3559,2009,,,15,4,2011,"120,000",169.31,6,18-1,0,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201104,2011-04-15,51,51.2,120000,0,전세
래미안퍼스티지,11650-3559,2009,,,16,4,2011,"58,500",59.96,20,18-1,0,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201104,2011-04-16,18,18.1,58500,0,전세
래미안퍼스티지,11650-3559,2009,,,25,4,2011,"115,000",135.92,17,18-1,0,,,반포대로 275,0,00275,00000,2121003,2,11650,11650,반포동,,전월세,201104,2011-04-25,41,41.1,115000,0,전세
