평형,전용면적,건수,평균_만원,중위_만원,최저_만원,최고_만원,최초계약일,최근계약일,등기일자보유,평균_평당_만원
17,57.36,1,106900,106900,106900,106900,2008-04-21,2008-04-21,0,6160
18,"59.89, 59.96",2,96000,96000,77000,115000,2007-08-18,2010-11-22,0,5295
26,"84.76, 84.85, 84.93",42,123265,120000,93800,263436,2007-07-28,2009-07-15,0,4798
34,"113.14, 114.00",2,114644,114644,112289,117000,2008-04-14,2009-05-02,0,3337
35,"115.65, 117.12",7,169500,170000,137000,187000,2008-12-04,2009-06-05,0,4811
41,135.92,8,199935,197500,180666,220000,2007-07-23,2009-06-15,0,4862
51,169.31,5,228400,230000,163000,270000,2008-07-09,2009-06-17,0,4459
60,"198.04, 198.22",8,222376,223775,190000,245248,2007-11-07,2009-04-07,0,3711
67,222.76,11,259362,260000,200000,322000,2007-07-16,2009-07-10,0,3849
125,413.82,1,274956,274956,274956,274956,2007-11-13,2007-11-13,0,2196
